	Respondent	MainBranch	Hobbyist	Age	Age1stCode	CompFreq	CompTotal	ConvertedComp	Country	CurrencyDesc	CurrencySymbol	DatabaseDesireNextYear	DatabaseWorkedWith	DevType	EdLevel	Employment	Ethnicity	Gender	JobFactors	JobSat	JobSeek	LanguageDesireNextYear	LanguageWorkedWith	MiscTechDesireNextYear	MiscTechWorkedWith	NEWCollabToolsDesireNextYear	NEWCollabToolsWorkedWith	NEWDevOps	NEWDevOpsImpt	NEWEdImpt	NEWJobHunt	NEWJobHuntResearch	NEWLearn	NEWOffTopic	NEWOnboardGood	NEWOtherComms	NEWOvertime	NEWPurchaseResearch	NEWPurpleLink	NEWSOSites	NEWStuck	OpSys	OrgSize	PlatformDesireNextYear	PlatformWorkedWith	PurchaseWhat	Sexuality	SOAccount	SOComm	SOPartFreq	SOVisitFreq	SurveyEase	SurveyLength	Trans	UndergradMajor	WebframeDesireNextYear	WebframeWorkedWith	WelcomeChange	WorkWeekHrs	YearsCode	YearsCodePro
54176	55279	I code primarily as a hobby	Yes	25.0	20				Nepal			MariaDB;MongoDB;MySQL	MariaDB;MySQL	Developer, full-stack	Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Not employed, but looking for work	South Asian	Man				C;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript	C;HTML/CSS;Java	Flutter;Node.js;React Native		Github;Gitlab;Facebook Workplace;Stack Overflow for Teams	Github			Very important			Once a year	No		No		Start a free trial	Amused	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow	Windows		Android;iOS;Linux;MacOS;WordPress	Windows		Straight / Heterosexual	Not sure/can't remember	Neutral		A few times per week	Difficult	Appropriate in length	No		Angular.js;Django;jQuery;Laravel;Ruby on Rails	Spring	Not applicable - I did not use Stack Overflow last year		0.5	
54415	55524	I am a developer by profession	Yes		17				Nepal	Nepalese rupee	NPR	MongoDB	Microsoft SQL Server;MySQL;Oracle;SQLite	Developer, back-end;Developer, embedded applications or devices;Developer, mobile;Educator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	South Asian	Man	Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Office environment or company culture	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Dart;Kotlin;Objective-C;Python	C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL;VBA	Flutter	Unity 3D		Github;Gitlab;Slack;Trello;Stack Overflow for Teams	Not sure	Somewhat important	Somewhat important	Curious about other opportunities;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family	Every few months	No	Onboarding? What onboarding?	Yes	Sometimes: 1-2 days per month but less than weekly	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit	Indifferent	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Meditate;Visit Stack Overflow;Watch help / tutorial videos	Windows	Just me - I am a freelancer, sole proprietor, etc.	iOS	Android			Yes	Yes, somewhat	Less than once per month or monthly	A few times per month or weekly	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	jQuery;Laravel	ASP.NET;ASP.NET Core	Just as welcome now as I felt last year	8.0	20.0	12
54437	55546	I am a student who is learning to code	Yes	23.0	20				Nepal			MySQL	MySQL	Developer, full-stack	Some college/university study without earning a degree	Not employed, but looking for work	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development		I’m not actively looking, but I am open to new opportunities	HTML/CSS;Java;JavaScript;SQL	C;C++;HTML/CSS;Java;SQL			Github	Github						Once every few years	Not sure		No		Start a free trial	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Windows					Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	A few times per month or weekly	Easy	Appropriate in length	No	Another engineering discipline (such as civil, electrical, mechanical, etc.)	Spring		Just as welcome now as I felt last year		0.5	
54446	55555	I am a student who is learning to code	Yes						Nepal			Oracle	MySQL		Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Student	East Asian;South Asian	Man	Flex time or a flexible schedule;Family friendliness		I am not interested in new job opportunities	C;C++;PHP;Python;SQL	C;C++;HTML/CSS;JavaScript;Python;SQL										Every few months			Yes		Research companies that have advertised on sites I visit		Stack Overflow (public Q&A for anyone who codes)	Go for a walk or other physical activity	Linux-based		Android;iOS;Windows	Arduino;Heroku;Linux;Windows		Straight / Heterosexual	Yes	Yes, somewhat	Multiple times per day	Daily or almost daily	Easy	Too long	No			Django;Flask				
54514	55623	I am a developer by profession	Yes	23.0	14	Monthly	30000.0	3156.0	Nepal	Nepalese rupee	NPR	Firebase;MongoDB;MySQL;Oracle;Redis;SQLite	MySQL	Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	East Asian	Man	Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development	Slightly satisfied	I am actively looking for a job	Bash/Shell/PowerShell;Java;PHP;Python	Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP;Python;SQL	.NET;Node.js;React Native	.NET;Node.js	Github;Gitlab;Slack;Trello;Stack Overflow for Teams	Github;Gitlab;Slack;Trello	No	Somewhat important	Critically important	Wanting to share accomplishments with a wider network;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities	Personal network - friends or family	Every few months	No	No	No	Often: 1-2 days per week or more	Start a free trial	Amused	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Watch help / tutorial videos	Windows	2 to 9 employees	Android;IBM Cloud or Watson;iOS;Linux;Windows	Android;Windows	I have a great deal of influence	Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Multiple times per day	Neither easy nor difficult	Too long	No	Information systems, information technology, or system administration	Django;Express;jQuery;Laravel;React.js;Vue.js	Django;Express;jQuery;Laravel	A lot more welcome now than last year	48.0	3.0	1
54665	55775	I am a developer by profession	Yes	30.0	23	Monthly	120000.0	12612.0	Nepal	Nepalese rupee	NPR	MariaDB;MongoDB;MySQL	Firebase;MySQL	Data or business analyst;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;DevOps specialist;Engineer, data;Product manager;System administrator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development	Very satisfied	I’m not actively looking, but I am open to new opportunities	Java;JavaScript;PHP;SQL	HTML/CSS;Java;JavaScript;PHP;SQL	React Native	React Native	Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Yes	Extremely important	Not at all important/not necessary	Trouble with my teammates;Wanting to work with new technologies	Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Once a year	No	Yes	Yes	Often: 1-2 days per week or more	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Linux-based	20 to 99 employees	AWS;Docker;Google Cloud Platform;Heroku;Linux	AWS;Docker;Google Cloud Platform;Heroku;Linux	I have a great deal of influence	Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Daily or almost daily	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Spring;Vue.js	Angular;Angular.js;jQuery;React.js;Spring;Vue.js	Just as welcome now as I felt last year	40.0	10.0	6
55446	56562	I am a developer by profession	Yes	25.0	21	Monthly	1.0	0.0	Nepal	Nepalese rupee	NPR	Cassandra;Firebase;Microsoft SQL Server;MongoDB;PostgreSQL	Firebase;MariaDB;MongoDB;MySQL;SQLite	Developer, back-end;Developer, front-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Flex time or a flexible schedule;How widely used or impactful my work output would be	Very dissatisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript	HTML/CSS;Java;JavaScript;PHP;Ruby;SQL;TypeScript	Flutter;Hadoop;Keras;Node.js;Pandas;React Native;TensorFlow;Torch/PyTorch		Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)	Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Critically important	Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)	Every few months	No	No	No	Never	Start a free trial	Amused	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later	Linux-based	100 to 499 employees	AWS;Docker;Heroku;Kubernetes;Linux	Linux;Windows	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;Django;Express;Flask;React.js;Spring	Angular;Express;jQuery;Laravel;React.js;Ruby on Rails;Spring	A lot more welcome now than last year	42.0	4.0	Less than 1 year
55815	56935	I am a student who is learning to code	Yes						Nepal			MySQL;Oracle	MySQL;Oracle			Student						HTML/CSS;Python	HTML/CSS;Python															Start a free trial	Hello, old friend		Play games;Watch help / tutorial videos	Windows		Arduino	Arduino																
55974	57096	I am a student who is learning to code	Yes	18.0	15				Nepal			Firebase;MySQL	Firebase;SQLite		Some college/university study without earning a degree	Student	South Asian	Man	Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development		I am actively looking for a job	Dart;JavaScript;Kotlin;PHP;Python	Assembly;Bash/Shell/PowerShell;HTML/CSS;Java	Flutter;Node.js;TensorFlow;Unity 3D	Flutter	Github;Facebook Workplace;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Github;Facebook Workplace;Microsoft Teams;Google Suite (Docs, Meet, etc);Stack Overflow for Teams						Every few months	Yes		Yes		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Meditate;Visit Stack Overflow;Watch help / tutorial videos	Windows		Android;Google Cloud Platform;iOS;Windows	Android		Straight / Heterosexual	Yes	Yes, definitely	A few times per month or weekly	A few times per month or weekly	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;Angular.js;Django;jQuery		Somewhat more welcome now than last year		3.0	
56381	57504	I am a developer by profession	No		12				Nepal			MongoDB;MySQL;PostgreSQL;SQLite	MySQL;SQLite	Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Developer, QA or test;DevOps specialist;Engineer, data;Engineering manager	Some college/university study without earning a degree	Not employed, but looking for work	South Asian	Man	Office environment or company culture;Opportunities for professional development;Family friendliness		I’m not actively looking, but I am open to new opportunities	C;HTML/CSS;Java;JavaScript;PHP;Python;R;Ruby;SQL;Swift	C;C++;HTML/CSS;JavaScript;Python	.NET;Flutter;Node.js;React Native;TensorFlow;Unity 3D;Unreal Engine		Confluence;Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Github;Gitlab;Trello				Curious about other opportunities;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Every few months	Not sure		No		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later	Linux-based		Android;Arduino;Google Cloud Platform;Heroku;iOS;Linux;MacOS;Raspberry Pi;Windows;WordPress	Arduino;Google Cloud Platform;Heroku;iOS;Linux;Raspberry Pi;Windows;WordPress		Straight / Heterosexual	Yes	Yes, definitely	I have never participated in Q&A on Stack Overflow	Multiple times per day	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;Angular.js;ASP.NET;Django;Flask;jQuery;Laravel;React.js;Ruby on Rails;Spring	Django;jQuery;React.js	Not applicable - I did not use Stack Overflow last year		4.0	
56561	57686	I am a developer by profession	Yes	29.0	24	Monthly	120000.0	12612.0	Nepal	Nepalese rupee	NPR		MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite	Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time		Man	Industry that I’d be working in;Remote work options;Office environment or company culture	Very satisfied	I’m not actively looking, but I am open to new opportunities		C;C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL		Pandas		Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Yes	Extremely important	Somewhat important	Wanting to share accomplishments with a wider network;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)	Once a year	No	Yes	No	Occasionally: 1-2 days per quarter but less than monthly	Start a free trial	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Visit another developer community (please name):	Linux-based	20 to 99 employees		Docker;Linux;Windows;WordPress	I have some influence	Straight / Heterosexual	Yes	Yes, definitely	A few times per week	Multiple times per day	Neither easy nor difficult	Too long		Computer science, computer engineering, or software engineering	React.js	Django;jQuery;Laravel	A lot more welcome now than last year	168.0	5.0	5
56833	57959	I am a student who is learning to code	Yes	22.0	20				Nepal			Cassandra;MongoDB	Firebase;Microsoft SQL Server;MySQL;Oracle;SQLite	Developer, front-end;Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	East Asian	Man	Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development		I am actively looking for a job	JavaScript;Python;Ruby	C;C#;C++;HTML/CSS;Java;PHP;SQL	Flutter;Unity 3D	.NET;.NET Core	Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)	Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)						Once a year	No		No		Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Windows		Android;Linux;Microsoft Azure;Raspberry Pi	Android;AWS		Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Multiple times per day	Neither easy nor difficult	Appropriate in length	No	A natural science (such as biology, chemistry, physics, etc.)	Angular;Angular.js;Django;Laravel;React.js;Spring;Vue.js	Laravel	A lot more welcome now than last year		4.0	
57988	59126	I am a student who is learning to code	Yes	20.0	18				Nepal				MongoDB;MySQL;SQLite	Academic researcher;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Product manager	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Not employed, but looking for work		Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development		I’m not actively looking, but I am open to new opportunities		C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL	React Native;TensorFlow;Unity 3D		Jira;Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams							Every few months			No		Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow Advertising (for technology companies)	Visit Stack Overflow;Watch help / tutorial videos	Windows		Android;Google Cloud Platform;Slack Apps and Integrations;WordPress			Straight / Heterosexual					Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular.js;Django;React.js;Spring;Vue.js				2.0	
58081	59224	I am a developer by profession	Yes	20.0	14	Monthly	2500.0	30000.0	Nepal	United States dollar	USD	Microsoft SQL Server;MySQL;Oracle;SQLite	Microsoft SQL Server;MySQL;Oracle;SQLite	Developer, back-end	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	East Asian	Man	Remote work options;Office environment or company culture;Family friendliness	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL	C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL	Node.js;React Native	Node.js;React Native			Yes	Extremely important	Critically important	Just because;Wanting to share accomplishments with a wider network;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company	Once a decade	Yes	Yes	No	Rarely: 1-2 days per year or less	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters)	Call a coworker or friend;Visit Stack Overflow	Windows	500 to 999 employees	Android;Arduino;Windows;WordPress	Android;Arduino;Windows;WordPress	I have a great deal of influence		Yes	Yes, definitely	Less than once per month or monthly	Multiple times per day	Neither easy nor difficult	Appropriate in length		Computer science, computer engineering, or software engineering	Angular;Angular.js;Django;jQuery;Laravel;React.js;Spring;Vue.js	Angular;Angular.js;Django;jQuery;Laravel;React.js;Spring;Vue.js	Somewhat more welcome now than last year	60.0	4.0	6
58136	59279	I am a developer by profession	Yes		12	Monthly	300000.0	2000000.0	Nepal	United States dollar	USD	Cassandra;Couchbase;DynamoDB;IBM DB2;MariaDB;MongoDB;Oracle;Redis	Elasticsearch;Firebase;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite	Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Engineer, data;Engineer, site reliability;Engineering manager;System administrator	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Employed full-time	South Asian;Southeast Asian		Flex time or a flexible schedule;Remote work options;Opportunities for professional development	Very satisfied	I’m not actively looking, but I am open to new opportunities	Dart;Go;Haskell;Julia;Kotlin;Perl;PHP;R;Ruby;Rust;Scala	Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;Swift;TypeScript;VBA	Ansible;Apache Spark;Flutter;Hadoop;Keras;Pandas;Puppet;TensorFlow;Teraform;Torch/PyTorch;Unity 3D;Unreal Engine	.NET;.NET Core;Chef;Cordova;Node.js;React Native;Xamarin	Gitlab;Trello	Confluence;Jira;Github;Facebook Workplace;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Yes	Extremely important		Having a bad day (or week or month) at work;Trouble with leadership at my company;Better work/life balance;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company		Yes	Yes	No	Sometimes: 1-2 days per month but less than weekly	Start a free trial;Ask developers I know/work with	Amused	Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters)	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos	Windows	1,000 to 4,999 employees	Arduino;Heroku;IBM Cloud or Watson;Kubernetes;Raspberry Pi;Slack Apps and Integrations	Android;AWS;Docker;Google Cloud Platform;iOS;Linux;MacOS;Microsoft Azure;Windows;WordPress	I have a great deal of influence		Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Multiple times per day	Neither easy nor difficult	Too long		Computer science, computer engineering, or software engineering	Django;Drupal;Flask;Gatsby;Laravel	Angular;Angular.js;ASP.NET;ASP.NET Core;Express;jQuery;React.js;Ruby on Rails;Spring;Symfony;Vue.js	A lot more welcome now than last year	40.0	20.0	14
58186	59330	I am a developer by profession	Yes	26.0	18	Monthly	500.0	6000.0	Nepal	United States dollar	USD	Cassandra;Couchbase;Firebase;MongoDB;SQLite	Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite	Developer, front-end;Developer, full-stack;Developer, mobile	Some college/university study without earning a degree	Employed full-time	Southeast Asian	Man	Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;Dart;JavaScript;SQL;TypeScript	Bash/Shell/PowerShell;Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript;VBA	.NET Core;Cordova;Flutter;Node.js;React Native;TensorFlow	.NET;.NET Core;Cordova;Flutter;Node.js;React Native	Gitlab;Trello;Google Suite (Docs, Meet, etc)	Gitlab;Trello;Google Suite (Docs, Meet, etc)	No	Not very important	Somewhat important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Personal network - friends or family	Every few months	Not sure	No	Yes	Sometimes: 1-2 days per month but less than weekly	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Indifferent	Stack Overflow (public Q&A for anyone who codes)	Play games;Visit Stack Overflow;Watch help / tutorial videos	Linux-based	100 to 499 employees	Android;AWS;Google Cloud Platform;Heroku;iOS;Linux;Slack Apps and Integrations;WordPress	Android;Linux;Windows;WordPress	I have some influence	Straight / Heterosexual	Not sure/can't remember	Yes, somewhat		Multiple times per day	Easy	Too long	No	Computer science, computer engineering, or software engineering	Angular;ASP.NET Core;Express;Gatsby;React.js;Vue.js	Angular;ASP.NET;ASP.NET Core;jQuery;React.js	Somewhat more welcome now than last year	40.0	8.0	3
58721	59881	I am not primarily a developer, but I write code sometimes as part of my work	Yes	25.0	20				Nepal			MariaDB;Microsoft SQL Server;MySQL		Data or business analyst;Data scientist or machine learning specialist;Database administrator	Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Not employed, but looking for work	East Asian	Man	Flex time or a flexible schedule;Specific department or team I’d be working on		I am actively looking for a job	Python	PHP				Github;Gitlab;Trello			Very important	Curious about other opportunities;Better compensation	Personal network - friends or family	Once a year			No		Start a free trial;Ask developers I know/work with	Hello, old friend	Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies)	Visit Stack Overflow;Watch help / tutorial videos	Linux-based		Linux	Linux;Windows							Easy	Too short	No			Laravel			3.0	
59128	60302	I am a student who is learning to code	Yes		15				Nepal			Firebase;MySQL	Firebase			Student	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture		I’m not actively looking, but I am open to new opportunities	Dart;HTML/CSS;Java;JavaScript;Kotlin;Python	C;C++	Flutter;Unity 3D;Unreal Engine		Github;Stack Overflow for Teams	Github;Stack Overflow for Teams						Every few months	Yes		Yes		Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Annoyed	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Watch help / tutorial videos	Windows		Android;iOS;Windows;WordPress	Android		Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	A few times per month or weekly	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular.js;Django;Flask		Just as welcome now as I felt last year		2.0	
60060	61259	I am a developer by profession	Yes	25.0	20	Monthly			Nepal	Nepalese rupee	NPR	MongoDB;MySQL	MongoDB;MySQL	Designer;Developer, back-end;Developer, front-end	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	East Asian	Man	Languages, frameworks, and other technologies I’d be working with;Remote work options;Financial performance or funding status of the company or organization	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	HTML/CSS;JavaScript;PHP;Rust	HTML/CSS;JavaScript;PHP	Node.js	Node.js	Github;Gitlab;Slack	Github;Gitlab;Slack	No	Somewhat important	Somewhat important	Curious about other opportunities;Better compensation;Better work/life balance;Looking to relocate	Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Every few months	No	No	Yes	Often: 1-2 days per week or more	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit	Indifferent	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos	Linux-based	2 to 9 employees	Docker;Heroku;Linux;WordPress	Docker;Heroku;Linux;WordPress	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	A few times per week	Daily or almost daily	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	React.js	jQuery;React.js	Just as welcome now as I felt last year	40.0	5.0	4
